publication_id,Nom,Type,Thématique,Lieu,Période,Périodicité,Scope
vieew2024,"19th International Conference on Future Networks and Communications / 21st International Conference on Mobile Systems and Pervasive Computing / 14th International Conference on Sustainable Energy Information Technology (FNC/MobiSPC/SEIT 2024), August 5-7, 2024, Marshall University, Huntington, WV, USA",Conference,Not found,Not found,Not found,Not found,Not found
gntls1995,"3èmes journées Informatiques de Sonelgaz, Aurassi, Alger",Conference,Not found,Not found,Not found,Not found,Not found
emaet1996,"CARI'96 (Colloque Africain sur la Recherche en Informatique), Libreville, Gabon",Conference,Not found,Not found,Not found,Not found,Not found
ounls1996,"RIST (Revue Internationale des Technologies Avancées), CDTA",Journal,Not found,Not found,Not found,Not found,Not found
veeue1996,"4ème Rencontre de Recherche Opérationnelle, USTHB, Alger",Conference,Not found,Not found,Not found,Not found,Not found
ortes1999,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
inels2000,"Séminaire Algéro-Canadien, Alger.",Conference,Not found,Not found,Not found,Not found,Not found
kdnes2000,"CARI'2000 (Colloque Africain sur la Recherche en Informatique), Antananarivo, Madagascar",Conference,Not found,Not found,Not found,Not found,Not found
unbrc2002,"MCSEAI'2002, Annaba, Algérie",Conference,Not found,Not found,Not found,Not found,Not found
aceal2003,"IFC'03 (International Finance Conference), Hamammet, Tunisie",Conference,Not found,Not found,Not found,Not found,Not found
cohes2003,"Inforum'2003, Séminaire sur la sécurité des SI, Sonatrach, El Aurassi, Alger",Conference,Not found,Not found,Not found,Not found,Not found
luvie2003,"Journée d'étude sur les T.I.C, ENA (Ecole Nationale d'Administration), Alger",Conference,Not found,Not found,Not found,Not found,Not found
ous432003,"ICPWE'03, Laboratoire LMER, Université de Tlemcen, Algerie",Conference,Not found,Not found,Not found,Not found,Not found
inles2004,"Journée d'Etude sur les SII (Systèmes d'Information Intelligents), CGN, Alger",Conference,Not found,Not found,Not found,Not found,Not found
stnta2004,"Proceedings - 2004 International Conference on Information and Communication Technologies: From Theory to Applications, ICTTA 2004",Conference,Engineering (miscellaneous),Syrian Arab Republic,-,Not found,Not found
tooms2004,WSEAS Transactions on Business and Economics,Journal,Business and International Management,Greece,"2009-2015, 2017-2025",Not found,Information not localized
ougit2005,"COSI'2005 (Colloque d'Optimisation des Systèmes d'information), Oran, Algérie",Conference,Not found,Not found,Not found,Not found,Not found
undts2005,"CPI'05, Casablanca, Maroc",Conference,Not found,Not found,Not found,Not found,Not found
arcns2006,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
cawes2006,Journal of Knowledge Management Practice,Journal,Not found,Not found,Not found,Not found,Not found
vents2006,"MCSEAI'06,  Agadir, Morocco",Conference,Not found,Not found,Not found,Not found,Not found
arans2007,"COSI'07 (Colloque sur l'Optimisation et les Systèmes d'Information), Oran, Algeria",Conference,Not found,Not found,Not found,Not found,Not found
prpig2007,"7ème Congrès Maghrébin de la médecine de travail, Bibliothèque El Hamma, Alger,",Conference,Not found,Not found,Not found,Not found,Not found
unnle2007,"CIGI'07 (7ème Congrès international de Génie Industriel), Les trois-Rivières, Quebec,Canada",Conference,Not found,Not found,Not found,Not found,Not found
aneon2008,International Journal of Industrial and Manufacturing Engineering,Journal,Not found,Not found,Not found,Not found,Not found
coees2008,Huitièmes Journées Scientifiques  et Techniques (JST8),Conference,Not found,Not found,Not found,Not found,Not found
coahe2008,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
ourls2008,"E-Medisys 2008, 2nd International Conference: E-Medical System",Conference,Not found,Not found,Not found,Not found,Not found
thaes2008,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
unent2008,"E-Medisys 2008, Sfax, Tunisie",Conference,Not found,Not found,Not found,Not found,Not found
acems2009,"CISIS'09, Complex, Intelligent and Software Intensive Systems. Fukuoka, Japan",Conference,Not found,Not found,Not found,Not found,Not found
qugni2009,Jnei'2009 (2èmes Journées d'Etudes et d'Information sur le partenariat Université-Environnement socio-économique),Conference,Not found,Not found,Not found,Not found,Not found
reegy2009,"Signal-Image Technology & Internet-Based Systems (SITIS), Marrakech, Morroco",Conference,Not found,Not found,Not found,Not found,Not found
syhdy2009,"OnAV'09, (2nd Workshop on Ontology Alignment and Visualization), proceedings IEEE computer society",Conference,Not found,Not found,Not found,Not found,Not found
ortes2010,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
soesi2010,"WWS'2010, Second Workshop sur les web services, CERIST, Algiers, Algeria",Conference,Not found,Not found,Not found,Not found,Not found
tkwhy2010,"2010 International Conference on Machine and Web Intelligence, ICMWI 2010 - Proceedings",Conference,Artificial Intelligence,United States,-,Not found,Not found
arrsi2011,"2011 International Conference on Information Science and Technology, ICIST 2011",Conference,Computer Networks and Communications,United States,-,Not found,Not found
tisns2011,"Support Pédagogique, Module: Organisation,  4SI, INI, Alger",Journal,Not found,Not found,Not found,Not found,Not found
veeer2011,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
enung2012,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
onmts2012,International Journal of Web and Grid Services,Journal,Computer Networks and Communications,United Kingdom,2005-2024,Not found,"Web services are providing declarative interfaces to services offered by systems on the Internet, including messaging protocols, standard interfaces, directory services, as well as security layers, for efficient/effective business application integration. Grid computing has emerged as a global platform to support organisations for coordinated sharing of distributed data, applications, and processes. It has also started to leverage web services to define standard interfaces for business services. IJWGS addresses web and grid service technology, emphasising issues of architecture, implementation, and standardisation."
agety2013,"Proceedings of WOSIS 2013: 10th International Workshop on Security in Information Systems - In Conjunction with the 15th International Conference on Enterprise Information Systems, ICEIS 2013",Conference,Information Systems,Portugal,-,Not found,Not found
emtsi2013,"ICIST'2013, Tanger, Morroco",Conference,Not found,Not found,Not found,Not found,Not found
proon2013,"Proceedings of the World Congress on Engineering 2011, WCE 2011",Journal,Computer Science (miscellaneous),United States,-,Not found,Information not localized
pri132013,"Proceedings of the World Congress on Engineering, London, 2013",Conference,Not found,Not found,Not found,Not found,Not found
terts2013,International Journal of Web and Grid Services,Journal,Computer Networks and Communications,United Kingdom,2005-2024,Not found,"Web services are providing declarative interfaces to services offered by systems on the Internet, including messaging protocols, standard interfaces, directory services, as well as security layers, for efficient/effective business application integration. Grid computing has emerged as a global platform to support organisations for coordinated sharing of distributed data, applications, and processes. It has also started to leverage web services to define standard interfaces for business services. IJWGS addresses web and grid service technology, emphasising issues of architecture, implementation, and standardisation."
toiin2013,International Review on Computers and Software,Journal,Computer Science (miscellaneous),Italy,2009-2016,Not found,"The International Review on Computers and Software (IRECOS) is a peer-reviewed journal that publishes original papers on all branches of the academic Computer Science and Engineering communities. Thematic areas include, but are not limited to:

-Computer Science Theory, Methods and Tools:
Software engineering, algorithms and complexity, computational logic, formal methods, heuristics, mathematics and models of computation, programming languages and semantics.

-Computer and Communications Networks and Systems:
Network and distributed architectures and protocols, traffic engineering, resource management and Quality of Service, network monitoring and traffic measurements, wireless networks, personal and body area networks, vehicular networks, content and service-centric networking, multimedia communications and standards, energy efficient/green networks, opportunistic and cognitive networks.

-Computational Intelligence, Machine Learning and Data Analytics:
Human computer interaction, computational science, pattern recognition, computer vision, speech processing, machine intelligence and reasoning, web science, databases, information retrieval, visualisation, current applications domains, e.g. Healthcare and BioInformatics, and emerging application domains, e.g. big data.

-Security in Computer Systems and Networks:
Computer systems security, hardware and embedded systems security, security protocol design and analysis, cryptography and cryptanalysis, intrusion detection systems and techniques, user authentication techniques and systems.

-Hardware Design:
Computer architectures, parallel architectures, operating systems and signal processing.

IRECOS also publishes letters to the Editor and research notes which discuss new research, or research in progress in any of the above thematic areas."
trqdy2013,The First International Conference on Building and Exploring Web Based Environments,Journal,Not found,Not found,Not found,Not found,Not found
versi2013,"9èmes Journée Scientifiques et Techniques, Sonatrach, Oran, Algerie",Journal,Not found,Not found,Not found,Not found,Not found
acsgy2014,"COSI'2014, Bejaia, Algeria",Conference,Not found,Not found,Not found,Not found,Not found
caces2014,"SYSCO'2014, Hammamet, Tunisie, 27-29 Septembre 2014",Conference,Not found,Not found,Not found,Not found,Not found
chhes2014,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
knies2014,"2014 4th International Symposium ISKO-Maghreb: Concepts and Tools for Knowledge Management, ISKO-Maghreb 2014",Conference,Computer Networks and Communications,United States,-,Not found,Information not localized
simir2014,"Second International Conference on New Technologies and Communication (ICNTC'2014), At CHLEF, ALGERIA",Conference,Not found,Not found,Not found,Not found,Not found
taees2014,"C2I, 1ère Conférence sur l'Ingénierie Informatique, EMP (Ecole Militaire Polytechnique)",Conference,Not found,Not found,Not found,Not found,Not found
hosal2015,IJBIS (International Journal of Business Information Systems),Journal,Not found,Not found,Not found,Not found,Not found
houon2015,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
pores2015,Université UMBB,Journal,Not found,Not found,Not found,Not found,Not found
reers2015,"Journée Algéro-Canadienne de l'Enseignement Supérieur, ENSV, Alger",Conference,Not found,Not found,Not found,Not found,Not found
tosve2015,"IPAC '15: International Conference on Intelligent Information Processing, Security and Advanced Communication, Batna, Algeria, November, 2015",Conference,Not found,Not found,Not found,Not found,Not found
enval2016,"ICBIA'16 (First International Conférence on Business Intelligence and Applications), Université Blida1",Conference,Not found,Not found,Not found,Not found,Not found
inaew2016,"Proceedings of the 2016 3rd International Conference on Information and Communication Technologies for Disaster Management, ICT-DM 2016",Conference,Computer Networks and Communications,United States,-,Not found,"The International Conference on Information and Communication Technologies for Disaster Management (ICT-DM’2016) will be held in Vienna, Austria from 13th of December to 15th of December 2016. ICT-DM’2016 aims to bring together academics and practitioners who are involved in emergency services, ad hoc planning and disaster management and recovery, in order to learn about the latest research developments, share experiences and information about this area and develop recommendations."
tuues2016,"ICBIA'16, First International Conférence on Business Intelligence and Applications, Université Blida, Algérie",Conference,Not found,Not found,Not found,Not found,Not found
acaon2017,"International Journal of Service Science, Management, Engineering, and Technology (IJSSMET)",Journal,Not found,Not found,Not found,Not found,Not found
buern2017,"Proceedings - 14th IEEE International Conference on E-Business Engineering, ICEBE 2017 - Including 13th Workshop on Service-Oriented Applications, Integration and Collaboration, SOAIC 207",Conference,Business and International Management,United States,-,Not found,Information not localized
coies2017,"CAFE TICE, ESI, Alger, Algerie",Conference,Not found,Not found,Not found,Not found,Not found
inyem2017,Journal of Systems Integration,Journal,Earth and Planetary Sciences (miscellaneous),Netherlands,1991-2001,Not found,Cessation. Information not localized
prgng2017,ICE-B (14th International Joint Conference on e-Business and Telecommunications),Conference,Not found,Not found,Not found,Not found,Not found
toent2017,"14th International Conference on Information Systems for Crisis Response and Management,  Mines Albi, France.",Conference,Not found,Not found,Not found,Not found,Not found
tonrs2017,"International Journal of Teaching and Case Studies,",Journal,Not found,Not found,Not found,Not found,Not found
veter2017,"MeDIT'2017, Palais de la Culture, Alger",Conference,Not found,Not found,Not found,Not found,Not found
agpbt2018,Intelligent System Intelligent Systems Conference (IntelliSys) 2018,Conference,Not found,Not found,Not found,Not found,Not found
crnol2018,IFIP INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND ITS APPLICATIONS (IFIP CIIA 2018),Conference,Not found,Not found,Not found,Not found,Not found
togdy2018,"ISKO Maghreb 2018, Bejaia University, Algeria",Conference,Not found,Not found,Not found,Not found,Not found
trxth2018,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
apimt2019,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
deedy2019,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
enles2019,"Enterprise Information Systems, Taylor & Francis Online",Journal,Not found,Not found,Not found,Not found,Not found
theon2019,"MEDI'2019, 9th International Conference on Model and Data Engineering, Toulouse, France",Conference,Not found,Not found,Not found,Not found,Not found
asrta2020,"4th Edition of the National Study Days on Research on Computer Sciences, JERI'2020, Jun 2020, Saida, Algeria",Conference,Not found,Not found,Not found,Not found,Not found
crcng2020,International Journal of e-Collaboration (IJeC),Journal,Not found,Not found,Not found,Not found,Not found
inule2020,"Business Intelligence & Big Data: 15ème Edition de la conférence EDA, Montpellier France 2019",Journal,Not found,Not found,Not found,Not found,Not found
maeer2020,Hult Prize ESI Algiers co-organisé par Club ETIC,Conference,Not found,Not found,Not found,Not found,Not found
toont2020,"1st International Conference on Innovative Research in Applied Science, Engineering and Technology IRASET'2020",Conference,Not found,Not found,Not found,Not found,Not found
traey2020,"4th Edition of the National Study Days on Research on Computer Sciences, JERI'2020",Conference,Not found,Not found,Not found,Not found,Not found
anpse2021,2020 2nd International Workshop on Human-Centric Smart Environments for Health and Well-being (IHSH),Conference,Not found,Not found,Not found,Not found,Not found
coier2021,"DZ 16 ENI OT 18, Séminaire Didactique, Jumelage institutionnel P3A: « Appui au MESRS, Algérie""",Conference,Not found,Not found,Not found,Not found,Not found
fliis2021,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
nueer2021,"Webinar national sur "" financement, Gouvernance et Innovation, tryptique de progrès économique"", ENSM, Alger",Conference,Not found,Not found,Not found,Not found,Not found
opiey2021,International Journal of Computer and Information Technology (2279-0764),Journal,Not found,Not found,Not found,Not found,Not found
tatue2021,"Semaine nationale du numérique, Université Alger 1, Faculté de Médecine",Conference,Not found,Not found,Not found,Not found,Not found
trpta2021,International Journal of Information Technology and Web Engineering,Journal,Computer Science (miscellaneous),United States,2006-2024,Not found,"Organizations are continuously overwhelmed by a variety of new information technologies, many are Web based. These new technologies are capitalizing on the widespread use of network and communication technologies for seamless integration of various issues in information and knowledge sharing within and among organizations. This emphasis on integrated approaches is unique to this journal and dictates cross platform and multidisciplinary strategy to research and practice."
anrre2022,"2022 First International Conference on Big Data, IoT, Web Intelligence and Applications (BIWA), Sidi Belabbès, Algeria",Conference,Not found,Not found,Not found,Not found,Not found
citue2022,"Journée parlementaire sur la Transformation numérique pour un service public efficace, APN (Assemblée Populaire Algérienne), Alger",Conference,Not found,Not found,Not found,Not found,Not found
emeer2022,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
enent2022,"International Symposium on Informatics and its Applications 2022 (ISIA'22), Univesity of M'sila, Algeria",Conference,Not found,Not found,Not found,Not found,Not found
exers2022,"Education and Information Technologies, Springer",Journal,Not found,Not found,Not found,Not found,Not found
gophe2022,"Webinar, Optimum Telecom, Algiers, Algeria",Conference,Not found,Not found,Not found,Not found,Not found
imlta2022,IJSSCI (International Journal of Software Science and Computational Intelligence),Journal,Not found,Not found,Not found,Not found,Not found
opnce2022,"IJIDE (International Journal of Innovation in the Digital Economy), 13 (1)",Journal,Not found,Not found,Not found,Not found,Not found
our422022,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
ref192022,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
rdies2022,"LMCS Laboratory Seminar, ESI, Algiers, Algeria",Conference,Not found,Not found,Not found,Not found,Not found
totns2022,International Journal of Computers and Applications,Journal,Computer Graphics and Computer-Aided Design,United Kingdom,1997-2025,Not found,"The International Journal of Computers and Applications (IJCA) is a unique platform for publishing novel ideas, research outcomes and fundamental advances in all aspects of Computer Science, Computer Engineering, and Computer Applications. This is a peer-reviewed international journal with a vision to provide the academic and industrial community a platform for presenting original research ideas and applications. IJCA welcomes four special types of papers in addition to the regular research papers within its scope:

(a) Papers for which all results could be easily reproducible. For such papers, the authors will be asked to upload ""instructions for reproduction'', possibly with the source codes or stable URLs (from where the codes could be downloaded).

(b) Papers with negative results. For such papers, the experimental setting and negative results must be presented in detail. Also, why the negative results are important for the research community must be explained clearly. The rationale behind this kind of paper is that this would help researchers choose the correct approaches to solve problems and avoid the (already worked out) failed approaches.

(c) Detailed report, case study and literature review articles about innovative software / hardware, new technology, high impact computer applications and future development with sufficient background and subject coverage.

(d) Special issue papers focussing on a particular theme with significant importance or papers selected from a relevant conference with sufficient improvement and new material to differentiate from the papers published in a conference proceedings."
asany2023,The Electronic Journal of Information Systems in Developing Countries,Journal,Not found,Not found,Not found,Not found,Not found
cones2023,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
apzon2024,ACM Transactions on Management Information Systems,Journal,Management Information Systems,United States,2010-2025,Not found,"ACM Transactions on Management Information Systems (TMIS) is a scholarly quarterly journal that focuses on publishing high quality information systems research. TMIS welcomes innovative work on the design, development, assessment, and management of information technology and systems within organizations, businesses, and societies. TMIS welcomes submissions on a full range of MIS and information technology related areas and strongly encourages submissions with technical and technological ingredients, such as algorithmic, analytical modeling, design science, and system-oriented research, as well as submissions in emerging multidisciplinary MIS research topics that may span several traditional academic disciplines."
asdaf2024,Recent Research Review Journal,Journal,Not found,Not found,Not found,Not found,Not found
coaon2024,"22ème Journées Nationales de Médecine de Travail, Université SETIF1, Algerie",Conference,Not found,Not found,Not found,Not found,Not found
frres2024,Recent Research Reviews Journal,Journal,Not found,Not found,Not found,Not found,Not found
prgon2024,"4th International Conference on Trends and Advances in Collaborative Applied Computing (TACC 2024). Université de Constantine, Algérie.",Conference,Not found,Not found,Not found,Not found,Not found
taler2024,"(DEV SOFT SKILLS) Soft Skills and Employability in the Digital Era: Opportunities and Challenges for Algerian Students."" Tiaret Ibn Khadloun University",Conference,Not found,Not found,Not found,Not found,Not found
trsge2024,"13th International Conference on Model and Data Engineering - Naples - November 18 - 20, 2024",Conference,Not found,Not found,Not found,Not found,Not found
ander2025,"Transforming Government: People, Process and Policy",Journal,Computer Science Applications,United Kingdom,2007-2025,Not found,"Transforming Government: People, Process and Policy (TGPPP) promotes conceptually- and methodologically-sound debate on current and emerging issues in the fields of politics, economics, technology and business to reach and inform decision-makers at all levels of the decision-making process. TGPPP aims to build bridges between the worlds of academia and policymaking to promote evidence-based research.

TGPPP welcomes submissions from established and early career researchers, practitioners and policy makers to contribute, manage and share knowledge and experience, and to learn from each other’s research through front-line thinking about government and the complex multi-scalar environment in which it evolves.

TGPPP encourages multi- and interdisciplinary approaches to issues, processes and developments that directly and indirectly influence government’s nature and power of government and the way in which it operates. Contributions exploring community, city, domestic, regional, international and global perspectives to these issues are welcome."
opans2025,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
taele2025,CTO Forum Algeria 2025,Conference,Not found,Not found,Not found,Not found,Not found
opgis2007,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
evnel2011,2011 15th International Conference on Information Visualisation,Conference,Not found,Not found,Not found,Not found,Not found
secch2011,"Editions European University, ISBN",Journal,Not found,Not found,Not found,Not found,Not found
sasht2012,2012 16th international conference on information visualisation,Conference,Not found,Not found,Not found,Not found,Not found
saste2012,16th International Conference on Information Visualisation,Conference,Not found,Not found,Not found,Not found,Not found
metds2013,International Journal of New Computer Architectures and their Applications (IJNCAA),Journal,Not found,Not found,Not found,Not found,Not found
meach2013,The Third International Conference on Digital Information Processing and Communications,Journal,Not found,Not found,Not found,Not found,Not found
hieon2014,Ieri Procedia,Journal,Not found,Not found,Not found,Not found,Not found
menon2014,2014 18th International conference on information visualisation,Conference,Not found,Not found,Not found,Not found,Not found
hison2016,the first MEDiterranean conference on Pattern Recognition and Artificial Intelligence,Conference,Not found,Not found,Not found,Not found,Not found
hiron2016,ICPRAM 2016 - Proceedings of the 5th International Conference on Pattern Recognition Applications and Methods,Conference,Computer Networks and Communications,Portugal,-,Not found,"The International Conference on Pattern Recognition Applications and Methods would like to become a major point of contact between researchers, engineers and practitioners on the areas of Pattern Recognition, both from theoretical and application perspectives.

Contributions describing applications of Pattern Recognition techniques to real-world problems, interdisciplinary research, experimental and/or theoretical studies yielding new insights that advance Pattern Recognition methods are especially encouraged."
cooon2017,arXiv preprint arXiv:1705.04823,Journal,Not found,Not found,Not found,Not found,Not found
hiaon2017,The international Arab journal of information technology,Journal,Not found,Not found,Not found,Not found,Not found
cogon2018,"Computational Intelligence and Its Applications - 6th IFIP TC 5 International Conference, CIIA 2018, Oran, Algeria, May 8-10, 2018, Proceedings",Conference,Not found,Not found,Not found,Not found,Not found
hioon2018,Journal of Experimental and Theoretical Artificial Intelligence,Journal,Artificial Intelligence,United Kingdom,1989-2025,Not found,"Journal of Experimental & Theoretical Artificial Intelligence (JETAI) is a world leading journal dedicated to publishing high quality, rigorously reviewed, original papers in artificial intelligence (AI) research.
 
The journal features work in all subfields of AI research and accepts both theoretical and applied research. Topics covered include, but are not limited to, the following:
 
• cognitive science
• games
• learning
• knowledge representation
• memory and neural system modelling
• perception
• problem-solving"
hiron2018,International Arab Journal of Information Technology,Journal,Computer Science (miscellaneous),Jordan,2008-2025,Not found,"The International Arab Journal of Information Technology (IAJIT) is a specialized, refereed, and indexed journal that is published six issues per year in English. IAJIT is the official journal of the Colleges of Computing and Information Society (CCIS), stemming from the Association of Arab Universities and published by Zarqa University, Jordan. IAJIT invites contributions from researchers, scientists, and practitioners from all over the world."
peees2018,École nationale Supérieure en Informatique,Journal,Not found,Not found,Not found,Not found,Not found
3deds2020,2020 IEEE/ACS 17th International Conference on Computer Systems and Applications (AICCSA),Conference,Not found,Not found,Not found,Not found,Not found
hiron2020,arXiv preprint arXiv:2005.09377,Journal,Not found,Not found,Not found,Not found,Not found
lasng2020,"ResearchGate, Sep",Journal,Not found,Not found,Not found,Not found,Not found
imdns2021,arXiv preprint arXiv:2103.07754,Journal,Not found,Not found,Not found,Not found,Not found
taarf2023,SN Computer Science,Journal,Not found,Not found,Not found,Not found,Not found
avfes2015,East European Conference on Advances in Databases and Information Systems,Conference,Not found,Not found,Not found,Not found,Not found
setch2015,SIIE 2015 - 6th International Conference on 'Information Systems and Economic Intelligence',Conference,Computer Networks and Communications,United States,-,Not found,Information not localized
aques2016,"Proceedings - 2016 16th IEEE/ACM International Symposium on Cluster, Cloud, and Grid Computing, CCGrid 2016",Conference,Computer Networks and Communications,United States,-,Not found,"16th IEEE/ACM International Symposium on Cloud, Cluster, and Grid Computing (CCGrid 2016). provides a venue for distributed computing researchers, practitioners, and students to come together and share their latest results and learn from each other in a collegial friendly intellectual environment."
csnng2023,ICAART 2011 - Proceedings of the 3rd International Conference on Agents and Artificial Intelligence,Conference,Artificial Intelligence,Portugal,-,Not found,Not found
rdpir2023,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
aplms2004,"Rapport Interne LMCS, INI",Journal,Not found,Not found,Not found,Not found,Not found
uslms2004,"2004 IEEE International Conference on Systems, Man and Cybernetics (IEEE Cat. No. 04CH37583)",Conference,Not found,Not found,Not found,Not found,Not found
somes2005,"Artificial Intelligence and Knowledge Engineering Applications: A Bioinspired Approach: First International Work-Conference on the Interplay Between Natural and Artificial Computation, IWINAC 2005, Las Palmas, Canary Islands, Spain, June 15-18, 2005, Proceedings, Part II",Conference,Not found,Not found,Not found,Not found,Not found
anuks2009,"MEDES '09: International ACM Conference on Management of Emergent Digital EcoSystems, Lyon, France, October 27-30, 2009",Conference,Not found,Not found,Not found,Not found,Not found
anmms2011,IEEE SSCI 2011 - Symposium Series on Computational Intelligence - IA 2011: 2011 IEEE Symposium on Intelligent Agents,Conference,Artificial Intelligence,United States,-,Not found,Not found
anins2011,19èmes Journées Francophones sur les Systèmes Multi-Agents,Conference,Not found,Not found,Not found,Not found,Not found
ammms2017,IEEE Systems Journal,Journal,Computer Networks and Communications,United States,2007-2025,Not found,"This publication provides a systems-level, focused forum for application-oriented manuscripts that address complex systems and system-of-systems of national and global significance. It intends to encourage and facilitate cooperation and interaction among IEEE Societies with systems-level and systems engineering interest, and to attract non-IEEE contributors and readers from around the globe. Our IEEE Systems Council job is to address issues in new ways that are not solvable in the domains of the existing IEEE or other societies or global organizations. These problems do not fit within traditional hierarchical boundaries. For example, disaster response such as that triggered by Hurricane Katrina, tsunamis, or current volcanic eruptions is not solvable by pure engineering solutions. We need to think about changing and enlarging the paradigm to include systems issues."
apuaz2019,Bulletin Santé au Travail,Journal,Not found,Not found,Not found,Not found,Not found
aruds2022,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
covms2006,"International Journal of Computers, Communications and Control",Journal,Computational Theory and Mathematics,Romania,2007-2025,Not found,"International Journal of Computers Communications & Control is directed to the international communities of scientific researchers in computers, communications and control, from the universities, research units and industry. To differentiate from other similar journals, the editorial policy of IJCCC encourages the submission of original scientific papers that focus on the integration of the 3 ""C"" (Computing, Communications, Control).

In particular, the following topics are expected to be addressed by authors:
(1) Integrated solutions in computer-based control and communications;
(2) Computational intelligence methods & Soft computing (with particular emphasis on fuzzy logic-based methods, computing with words, ANN, evolutionary computing, collective/swarm intelligence);
(3) Advanced decision support systems (with particular emphasis on the usage of combined solvers and/or web technologies)."
amgps2012,"Proceedings of the International MultiConference of Engineers and Computer Scientists 2010, IMECS 2010",Journal,Computer Science (miscellaneous),United States,-,Not found,Not found
munes2013,"2013 5th International Conference on Modeling, Simulation and Applied Optimization, ICMSAO 2013",Conference,Control and Optimization,United States,-,Not found,Not found
acp292014,Advanced Approaches to Intelligent Information and Database Systems,Journal,Not found,Not found,Not found,Not found,Not found
etrms2014,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
unene2014,"MOSIM 2014, 10ème Conférence Francophone de Modélisation, Optimisation et Simulation",Conference,Not found,Not found,Not found,Not found,Not found
coaes2015,Computers and Industrial Engineering,Journal,Computer Science (miscellaneous),United Kingdom,1976-2025,Not found,"Industrial engineering is one of the earliest fields to utilize computers in research, education, and practice. Over the years, computers and electronic communication have become an integral part of industrial engineering. Computers & Industrial Engineering (CAIE) is aimed at an audience of researchers, educators and practitioners of industrial engineering and associated fields.

It publishes original contributions on the development of new computerized methodologies for solving industrial engineering problems, as well as the applications of those methodologies to problems of interest in the broad industrial engineering and associated communities. The journal encourages submissions that expand the frontiers of the fundamental theories and concepts underlying industrial engineering techniques.

CAIE also serves as a venue for articles evaluating the state-of-the-art of computer applications in various industrial engineering and related topics, and research in the utilization of computers in industrial engineering education. Papers reporting on applications of industrial engineering techniques to real life problems are welcome, as long as they satisfy the criteria of originality in the choice of the problem and the tools utilized to solve it, generality of the approach for applicability to other problems, and significance of the results produced.

A major aim of the journal is to foster international exchange of ideas and experiences among scholars and practitioners with shared interests all over the world."
afmts2017,2017 IEEE 29th International Conference on Tools with Artificial Intelligence (ICTAI),Conference,Not found,Not found,Not found,Not found,Not found
ahhts2017,Applied Soft Computing,Journal,Software,Netherlands,2001-2025,Not found,"Applied Soft Computing is an international journal promoting an integrated view of soft computing to solve real life problems. Soft computing is a collection of methodologies, which aim to exploit tolerance for imprecision, uncertainty and partial truth to achieve tractability, robustness and low solution cost. The focus is to publish the highest quality research in application and convergence of the areas of Fuzzy Logic, Neural Networks, Evolutionary Computing, Rough Sets and other similar techniques to address real world complexities.

Applied Soft Computing is a rolling publication: articles are published as soon as the editor-in-chief has accepted them. Therefore, the web site will continuously be updated with new articles and the publication time will be short.

Major Topics:

The scope of this journal covers the following soft computing and related techniques, interactions between several soft computing techniques, and their industrial applications:

• Ant Colony
• Chaos Theory
• Evolutionary Computing
• Fuzzy Computing
• Hybrid Methods
• Immunological Computing
• Morphic Computing
• Neuro Computing
• Particle Swarm
• Probabilistic Computing
• Rough Sets
• Wavelet"
prnce2017,Not exist,Not found,Not exist,Not exist,Not exist,Not exist,Not exist
asory2019,Journal of Physics: Conference Series,Journal,Physics and Astronomy (miscellaneous),United Kingdom,2005-2025,Not found,"The open access Journal of Physics: Conference Series (JPCS) provides a fast, versatile and cost-effective proceedings publication service."
togon2020,"SUI '20: Symposium on Spatial User Interaction, Virtual Event, Canada, October 31 - November 1, 2020",Conference,Not found,Not found,Not found,Not found,Not found
asion2022,"The 17th VISIGRAPP-International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",Conference,Not found,Not found,Not found,Not found,Not found
